Conselho Tutelar;Item;Quantidade;Data (AAAA-MM-DD);Data (DD/MM/AAAA);Período;Mês;Arquivo
Coroadinho/João Paulo;LAPIS DE CERA;1;2026-07-02;02/07/2026;02/07 a 02/07/2026;2026-07;CT COROADINHO.ods
Coroadinho/João Paulo;MARCA TEXTO;2;2026-01-01;01/01/2026;? (sem data);2026-01;CT COROADINHO.pdf
Coroadinho/João Paulo;MARCA-TEXTO;2;2026-05-06;06/05/2026;06/05 a 06/05/2026;2026-05;CT COROADINHO .ods
Coroadinho/João Paulo;MARCA-TEXTO;2;2026-05-13;13/05/2026;13/05 a 13/05/2026;2026-05;CT COROADINHO .ods
Coroadinho/João Paulo;MARCA-TEXTO;2;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT COROADINHO (2).ods
Coroadinho/João Paulo;MARCA-TEXTO;2;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT COROADINHO JOÃO PAULO 10 de JUNHO de 2026 GERAL.ods
Coroadinho/João Paulo;MARCA-TEXTO;2;2026-06-24;24/06/2026;24/06 a 24/06/2026;2026-06;CT COROADINHO Entrega dia 24 de junho de 2026.ods
Coroadinho/João Paulo;MARCA-TEXTO;2;2026-07-02;02/07/2026;02/07 a 02/07/2026;2026-07;CT COROADINHO.ods
Coroadinho/João Paulo;PAPEL A4;1;2026-01-01;01/01/2026;? (sem data);2026-01;CT COROADINHO.pdf
Coroadinho/João Paulo;RESMA DE PAPEL A4;1;2026-05-06;06/05/2026;06/05 a 06/05/2026;2026-05;CT COROADINHO .ods
Coroadinho/João Paulo;RESMA DE PAPEL A4;1;2026-05-13;13/05/2026;13/05 a 13/05/2026;2026-05;CT COROADINHO .ods
Coroadinho/João Paulo;RESMA DE PAPEL A4;1;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT COROADINHO (2).ods
Coroadinho/João Paulo;RESMA DE PAPEL A4;1;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT COROADINHO JOÃO PAULO 10 de JUNHO de 2026 GERAL.ods
Coroadinho/João Paulo;RESMA DE PAPEL A4;1;2026-06-24;24/06/2026;24/06 a 24/06/2026;2026-06;CT COROADINHO Entrega dia 24 de junho de 2026.ods
Coroadinho/João Paulo;RESMA DE PAPEL A4;1;2026-07-02;02/07/2026;02/07 a 02/07/2026;2026-07;CT COROADINHO.ods
Itaqui-Bacanga;ALMODADA CARIMBO;1;2026-04-15;15/04/2026;15/04 a 15/04/2026;2026-04;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;BORRACHA;6;2026-05-25;25/05/2026;25/05 a 25/05/2026;2026-05;CT BACANGA.xlsx
Itaqui-Bacanga;BORRACHA;2;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;BORRACHA;3;2026-06-18;18/06/2026;18/06 a 18/06/2026;2026-06;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;BORRACHA;6;2026-07-03;03/07/2026;03/07 a 03/07/2026;2026-07;CT BACANGA .xlsx
Itaqui-Bacanga;CANETA AZUL;5;2026-01-01;01/01/2026;? (sem data);2026-01;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;CANETA AZUL;5;2026-04-15;15/04/2026;15/04 a 15/04/2026;2026-04;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;CANETA AZUL;5;2026-05-25;25/05/2026;25/05 a 25/05/2026;2026-05;CT BACANGA.xlsx
Itaqui-Bacanga;CANETA AZUL;5;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;CANETA AZUL;5;2026-06-18;18/06/2026;18/06 a 18/06/2026;2026-06;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;CANETA MARCADORA;5;2026-05-25;25/05/2026;25/05 a 25/05/2026;2026-05;CT BACANGA.xlsx
Itaqui-Bacanga;CANETA MARCADORA;1;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;CANETA MARCADORA;5;2026-06-18;18/06/2026;18/06 a 18/06/2026;2026-06;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;CANETA MARCADORA;2;2026-07-03;03/07/2026;03/07 a 03/07/2026;2026-07;CT BACANGA .xlsx
Itaqui-Bacanga;CANETA PRETA;5;2026-01-01;01/01/2026;? (sem data);2026-01;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;CANETA PRETA;5;2026-06-18;18/06/2026;18/06 a 18/06/2026;2026-06;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;CLIPS;1;2026-01-01;01/01/2026;? (sem data);2026-01;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;CLIPS;1;2026-06-18;18/06/2026;18/06 a 18/06/2026;2026-06;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;CLIPS Nº 2/0;1;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;CLIPS Nº 4/0;2;2026-05-25;25/05/2026;25/05 a 25/05/2026;2026-05;CT BACANGA.xlsx
Itaqui-Bacanga;CLIPS Nº 6/0;1;2026-07-03;03/07/2026;03/07 a 03/07/2026;2026-07;CT BACANGA .xlsx
Itaqui-Bacanga;COLA BRANCA;1;2026-01-01;01/01/2026;? (sem data);2026-01;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;COLA BRANCA;1;2026-04-15;15/04/2026;15/04 a 15/04/2026;2026-04;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;COLA BRANCA;1;2026-05-25;25/05/2026;25/05 a 25/05/2026;2026-05;CT BACANGA.xlsx
Itaqui-Bacanga;COLA BRANCA;1;2026-06-18;18/06/2026;18/06 a 18/06/2026;2026-06;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;COPO DESCARTAVEL PARA CAFE;1;2026-06-18;18/06/2026;18/06 a 18/06/2026;2026-06;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;COPOS PARA CAFE;1;2026-01-01;01/01/2026;? (sem data);2026-01;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;COPOS PARA CAFE;1;2026-04-15;15/04/2026;15/04 a 15/04/2026;2026-04;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;CORRETIVO;2;2026-01-01;01/01/2026;? (sem data);2026-01;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;CORRETIVO;1;2026-04-15;15/04/2026;15/04 a 15/04/2026;2026-04;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;CORRETIVO;5;2026-05-25;25/05/2026;25/05 a 25/05/2026;2026-05;CT BACANGA.xlsx
Itaqui-Bacanga;CORRETIVO;1;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;CORRETIVO;1;2026-06-18;18/06/2026;18/06 a 18/06/2026;2026-06;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;CORRETIVO;2;2026-07-03;03/07/2026;03/07 a 03/07/2026;2026-07;CT BACANGA .xlsx
Itaqui-Bacanga;ENVELOPE;5;2026-01-01;01/01/2026;? (sem data);2026-01;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;ENVELOPE;5;2026-04-15;15/04/2026;15/04 a 15/04/2026;2026-04;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;ENVELOPE;10;2026-05-25;25/05/2026;25/05 a 25/05/2026;2026-05;CT BACANGA.xlsx
Itaqui-Bacanga;ENVELOPE;5;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;ENVELOPE;10;2026-06-18;18/06/2026;18/06 a 18/06/2026;2026-06;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;ENVELOPE;10;2026-07-03;03/07/2026;03/07 a 03/07/2026;2026-07;CT BACANGA .xlsx
Itaqui-Bacanga;FITA GOMADA;1;2026-01-01;01/01/2026;? (sem data);2026-01;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;FITA GOMADA;1;2026-04-15;15/04/2026;15/04 a 15/04/2026;2026-04;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;FITA GOMADA;1;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;FITA GOMADA;1;2026-06-18;18/06/2026;18/06 a 18/06/2026;2026-06;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;GRAMPEADOR;1;2026-07-03;03/07/2026;03/07 a 03/07/2026;2026-07;CT BACANGA .xlsx
Itaqui-Bacanga;PAPEL A4;1;2026-01-01;01/01/2026;? (sem data);2026-01;CT ITAQUI BAGANGA (2).xlsx
Itaqui-Bacanga;PAPEL A4;1;2026-04-15;15/04/2026;15/04 a 15/04/2026;2026-04;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;RESMA DE PAPEL A4;1;2026-05-25;25/05/2026;25/05 a 25/05/2026;2026-05;CT BACANGA.xlsx
Itaqui-Bacanga;RESMA DE PAPEL A4;1;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;RESMA DE PAPEL A4;1;2026-06-18;18/06/2026;18/06 a 18/06/2026;2026-06;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;RESMA DE PAPEL A4;1;2026-07-03;03/07/2026;03/07 a 03/07/2026;2026-07;CT BACANGA .xlsx
Itaqui-Bacanga;TESOURA;2;2026-05-25;25/05/2026;25/05 a 25/05/2026;2026-05;CT BACANGA.xlsx
Itaqui-Bacanga;TESOURA;1;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;TESOURA;1;2026-06-18;18/06/2026;18/06 a 18/06/2026;2026-06;CT ITAQUI BAGANGA (4).xlsx
Itaqui-Bacanga;TESOURA;2;2026-07-03;03/07/2026;03/07 a 03/07/2026;2026-07;CT BACANGA .xlsx
Itaqui-Bacanga;TINTA AZUL PARA CARIMBO;1;2026-04-15;15/04/2026;15/04 a 15/04/2026;2026-04;CT ITAQUI BAGANGA.xlsx
Itaqui-Bacanga;TINTA AZUL PARA CARIMBO;1;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;TINTA AZUL PARA CARIMBO;1;2026-07-03;03/07/2026;03/07 a 03/07/2026;2026-07;CT BACANGA .xlsx
Itaqui-Bacanga;TINTA PRETA PARA CARIMBO;1;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT ITAQUI BACANGA 10 de junho de 26.ods
Itaqui-Bacanga;TINTA PRETA PARA CARIMBO;1;2026-07-03;03/07/2026;03/07 a 03/07/2026;2026-07;CT BACANGA .xlsx
São Cristóvão/São Raimundo;CANETA AZUL;3;2026-04-28;28/04/2026;28/04 a 28/04/2026;2026-04;CT SÃO RAIMUNDO .xlsx
São Cristóvão/São Raimundo;CANETA AZUL;3;2026-05-06;06/05/2026;06/05 a 06/05/2026;2026-05;CT AO RAIMUNDO.xlsx
São Cristóvão/São Raimundo;CANETA AZUL;5;2026-06-16;16/06/2026;16/06 a 16/06/2026;2026-06;CT SÃO RAIMUNDO ENTREGA 16 de JUNHO de 2026.xlsx
São Cristóvão/São Raimundo;E.V.A VARIA COR;8;2026-06-16;16/06/2026;16/06 a 16/06/2026;2026-06;CT SÃO RAIMUNDO ENTREGA 16 de JUNHO de 2026.xlsx
São Cristóvão/São Raimundo;E.V.A VARIA CORE;2;2026-04-28;28/04/2026;28/04 a 28/04/2026;2026-04;CT SÃO RAIMUNDO .xlsx
São Cristóvão/São Raimundo;FITA GOMADA;1;2026-06-16;16/06/2026;16/06 a 16/06/2026;2026-06;CT SÃO RAIMUNDO ENTREGA 16 de JUNHO de 2026.xlsx
São Cristóvão/São Raimundo;MARCADOR DE TEXTO;2;2026-06-16;16/06/2026;16/06 a 16/06/2026;2026-06;CT SÃO RAIMUNDO ENTREGA 16 de JUNHO de 2026.xlsx
São Cristóvão/São Raimundo;RESMA DE PAPEL A4;1;2026-04-28;28/04/2026;28/04 a 28/04/2026;2026-04;CT SÃO RAIMUNDO .xlsx
São Cristóvão/São Raimundo;RESMA DE PAPEL A4;1;2026-05-06;06/05/2026;06/05 a 06/05/2026;2026-05;CT AO RAIMUNDO.xlsx
São Cristóvão/São Raimundo;RESMA DE PAPEL A4;1;2026-06-16;16/06/2026;16/06 a 16/06/2026;2026-06;CT SÃO RAIMUNDO ENTREGA 16 de JUNHO de 2026.xlsx
São Francisco/Cohama;APAGADOR PARA QUADRO BRANCO;1;2026-05-14;14/05/2026;14/05 a 14/05/2026;2026-05;CT SAO FRANCISCO.ods
São Francisco/Cohama;APAGADOR PARA QUADRO BRANCO;1;2026-05-20;20/05/2026;20/05 a 20/05/2026;2026-05;CT SAO FRANCISCO.ods
São Francisco/Cohama;APAGADOR PARA QUADRO BRANCO;1;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT SÃO FRANCISCO (3).ods
São Francisco/Cohama;CANETA AZUL;5;2026-04-22;22/04/2026;22/04 a 22/04/2026;2026-04;CT SAO FRANCISCO.ods
São Francisco/Cohama;CANETA AZUL;5;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT SÃO FRANCISCO COHAMA 10 DE JUNHO DE 2026.ods
São Francisco/Cohama;CANETA AZUL;5;2026-06-17;17/06/2026;17/06 a 17/06/2026;2026-06;CT SÃO FRANCISCO COHAMA ENTREGA DIA 17 de junho de 2026.ods
São Francisco/Cohama;CANETA PARA TECIDO;2;2026-05-20;20/05/2026;20/05 a 20/05/2026;2026-05;CT SAO FRANCISCO.ods
São Francisco/Cohama;CANETA PARA TECIDO;2;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT SÃO FRANCISCO (3).ods
São Francisco/Cohama;CANETAS AZUIS;5;2026-04-15;15/04/2026;15/04 a 15/04/2026;2026-04;CT FranciscoCohama.ods
São Francisco/Cohama;CLIPS;2;2026-04-15;15/04/2026;15/04 a 15/04/2026;2026-04;CT FranciscoCohama.ods
São Francisco/Cohama;CLIPS;1;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT SÃO FRANCISCO (3).ods
São Francisco/Cohama;CLIPS Nº 2/0;2;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT SÃO FRANCISCO COHAMA 10 DE JUNHO DE 2026.ods
São Francisco/Cohama;CLIPS Nº 2/0;2;2026-06-17;17/06/2026;17/06 a 17/06/2026;2026-06;CT SÃO FRANCISCO COHAMA ENTREGA DIA 17 de junho de 2026.ods
São Francisco/Cohama;CLIPS Nº 2/0;1;2026-06-24;24/06/2026;24/06 a 24/06/2026;2026-06;CT SÃO FRANCISCO COHAMA ENTREGA DIA 24 de junho de 2026.ods
São Francisco/Cohama;CLIPS Nº 3/0;1;2026-04-22;22/04/2026;22/04 a 22/04/2026;2026-04;CT SAO FRANCISCO.ods
São Francisco/Cohama;CLIPS Nº 4/0;1;2026-04-22;22/04/2026;22/04 a 22/04/2026;2026-04;CT SAO FRANCISCO.ods
São Francisco/Cohama;CLIPS Nº 4/0;1;2026-05-14;14/05/2026;14/05 a 14/05/2026;2026-05;CT SAO FRANCISCO.ods
São Francisco/Cohama;CLIPS Nº 4/0;1;2026-05-20;20/05/2026;20/05 a 20/05/2026;2026-05;CT SAO FRANCISCO.ods
São Francisco/Cohama;CLIPS Nº 6/0;1;2026-04-22;22/04/2026;22/04 a 22/04/2026;2026-04;CT SAO FRANCISCO.ods
São Francisco/Cohama;CLIPS Nº 8/0;1;2026-04-22;22/04/2026;22/04 a 22/04/2026;2026-04;CT SAO FRANCISCO.ods
São Francisco/Cohama;ENVELOPE A4;5;2026-04-22;22/04/2026;22/04 a 22/04/2026;2026-04;CT SAO FRANCISCO.ods
São Francisco/Cohama;ENVELOPE A4;5;2026-04-29;29/04/2026;29/04 a 29/04/2026;2026-04;CT SAO FRANCISCO.ods
São Francisco/Cohama;ENVELOPE A4;10;2026-05-14;14/05/2026;14/05 a 14/05/2026;2026-05;CT SAO FRANCISCO.ods
São Francisco/Cohama;ENVELOPE A4;10;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT SÃO FRANCISCO (3).ods
São Francisco/Cohama;ENVELOPE A4;5;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT SÃO FRANCISCO COHAMA 10 DE JUNHO DE 2026.ods
São Francisco/Cohama;ENVELOPE A4;10;2026-06-17;17/06/2026;17/06 a 17/06/2026;2026-06;CT SÃO FRANCISCO COHAMA ENTREGA DIA 17 de junho de 2026.ods
São Francisco/Cohama;ENVELOPE A4;10;2026-06-24;24/06/2026;24/06 a 24/06/2026;2026-06;CT SÃO FRANCISCO COHAMA ENTREGA DIA 24 de junho de 2026.ods
São Francisco/Cohama;ENVELOPE A4;5;2026-07-02;02/07/2026;02/07 a 02/07/2026;2026-07;CT SAO FRANCISCO.ods
São Francisco/Cohama;ENVELOPES A4;10;2026-04-15;15/04/2026;15/04 a 15/04/2026;2026-04;CT FranciscoCohama.ods
São Francisco/Cohama;ESCARCELA;2;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT SÃO FRANCISCO (3).ods
São Francisco/Cohama;ESCARCELA;2;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT SÃO FRANCISCO COHAMA 10 DE JUNHO DE 2026.ods
São Francisco/Cohama;ESCARCELA;2;2026-06-17;17/06/2026;17/06 a 17/06/2026;2026-06;CT SÃO FRANCISCO COHAMA ENTREGA DIA 17 de junho de 2026.ods
São Francisco/Cohama;ESCARCELA;2;2026-06-24;24/06/2026;24/06 a 24/06/2026;2026-06;CT SÃO FRANCISCO COHAMA ENTREGA DIA 24 de junho de 2026.ods
São Francisco/Cohama;LAPIS;5;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT SÃO FRANCISCO COHAMA 10 DE JUNHO DE 2026.ods
São Francisco/Cohama;LAPIS;5;2026-06-17;17/06/2026;17/06 a 17/06/2026;2026-06;CT SÃO FRANCISCO COHAMA ENTREGA DIA 17 de junho de 2026.ods
São Francisco/Cohama;LAPIS;5;2026-06-24;24/06/2026;24/06 a 24/06/2026;2026-06;CT SÃO FRANCISCO COHAMA ENTREGA DIA 24 de junho de 2026.ods
São Francisco/Cohama;MARCADOR PARA QUADRO BRANCO;2;2026-05-14;14/05/2026;14/05 a 14/05/2026;2026-05;CT SAO FRANCISCO.ods
São Francisco/Cohama;MARCADOR PARA QUADRO BRANCO;2;2026-05-20;20/05/2026;20/05 a 20/05/2026;2026-05;CT SAO FRANCISCO.ods
São Francisco/Cohama;MARCADOR PARA QUADRO BRANCO;2;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT SÃO FRANCISCO (3).ods
São Francisco/Cohama;POST IT;2;2026-04-15;15/04/2026;15/04 a 15/04/2026;2026-04;CT FranciscoCohama.ods
São Francisco/Cohama;POST-IT;1;2026-04-22;22/04/2026;22/04 a 22/04/2026;2026-04;CT SAO FRANCISCO.ods
São Francisco/Cohama;RESMA DE CHAMEX;1;2026-04-15;15/04/2026;15/04 a 15/04/2026;2026-04;CT FranciscoCohama.ods
São Francisco/Cohama;RESMA DE PAPEL A4;1;2026-04-22;22/04/2026;22/04 a 22/04/2026;2026-04;CT SAO FRANCISCO.ods
São Francisco/Cohama;RESMA DE PAPEL A4;1;2026-04-29;29/04/2026;29/04 a 29/04/2026;2026-04;CT SAO FRANCISCO.ods
São Francisco/Cohama;RESMA DE PAPEL A4;1;2026-05-07;07/05/2026;07/05 a 07/05/2026;2026-05;CT SAO FRANCISCOods.ods
São Francisco/Cohama;RESMA DE PAPEL A4;1;2026-05-14;14/05/2026;14/05 a 14/05/2026;2026-05;CT SAO FRANCISCO.ods
São Francisco/Cohama;RESMA DE PAPEL A4;1;2026-05-20;20/05/2026;20/05 a 20/05/2026;2026-05;CT SAO FRANCISCO.ods
São Francisco/Cohama;RESMA DE PAPEL A4;1;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT SÃO FRANCISCO (3).ods
São Francisco/Cohama;RESMA DE PAPEL A4;1;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT SÃO FRANCISCO COHAMA 10 DE JUNHO DE 2026.ods
São Francisco/Cohama;RESMA DE PAPEL A4;1;2026-06-17;17/06/2026;17/06 a 17/06/2026;2026-06;CT SÃO FRANCISCO COHAMA ENTREGA DIA 17 de junho de 2026.ods
São Francisco/Cohama;RESMA DE PAPEL A4;1;2026-06-24;24/06/2026;24/06 a 24/06/2026;2026-06;CT SÃO FRANCISCO COHAMA ENTREGA DIA 24 de junho de 2026.ods
São Francisco/Cohama;RESMA DE PAPEL A4;1;2026-07-02;02/07/2026;02/07 a 02/07/2026;2026-07;CT SAO FRANCISCO.ods
São Francisco/Cohama;TESOURA;2;2026-05-14;14/05/2026;14/05 a 14/05/2026;2026-05;CT SAO FRANCISCO.ods
São Francisco/Cohama;TESOURA;1;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT SÃO FRANCISCO (3).ods
Ct Zona Rural;(sem pedido de expediente em 2026);0;;;;;
Vila Luizão/Turu;(sem pedido de expediente em 2026);0;;;;;