Unidade;Item;Datas dos Pedidos (início);Quantidades em cada pedido;Total Anual;Média por Pedido
Anil/BequimãO;BORRACHA;2026-05-12;5;5;5
Anil/BequimãO;CANETA AZUL;2026-05-12;10;10;10
Anil/BequimãO;CLIPS GRANDE;2026-04-29;1;1;1
Anil/BequimãO;CLIPS Nº 8/0;2026-05-12;2;2;2
Anil/BequimãO;COLA BRANCA;2026-05-12;1;1;1
Anil/BequimãO;COLA;2026-04-29;1;1;1
Anil/BequimãO;CORRETIVO;2026-05-06 | 2026-05-12 | 2026-05-27;2 | 2 | 2;6;2
Anil/BequimãO;EVA PRETO;2026-06-10;10;10;10
Anil/BequimãO;GRAMPOS PEQUENO;2026-04-29;1;1;1
Anil/BequimãO;MARCA-TEXTO;2026-05-12;5;5;5
Anil/BequimãO;POST-IT PEQUENO;2026-05-06 | 2026-05-12 | 2026-06-08;1 | 2 | 2;5;1.67
Anil/BequimãO;REGUA;2026-05-12 | 2026-06-17;4 | 1;5;2.5
CMAS;ENVELOPE A4;2026-05-12 | 2026-06-10;5 | 5;10;5
CMAS;FITA DUREX;2026-05-12 | 2026-06-10;1 | 1;2;1
CMAS;FITA GOMADA;2026-06-10;1;1;1
CMAS;LAPIS;2026-07-01;10;10;10
CMAS;MARCADOR DE TEXTO;2026-05-12 | 2026-06-10;3 | 2;5;2.5
CMAS;PAPEL COUCHE BRANCO PARA CERTIFICADO;2026-05-13;2;2;2
CMAS;PASTA COM ELASTICO;2026-06-10;2;2;2
CMAS;PASTA SUSPENSA;2026-06-10;3;3;3
CMAS;RESMA DE PAPEL A4;2026-05-12 | 2026-06-10 | 2026-07-01;1 | 4 | 1;6;2
CMAS;SACO DE LIXO 25L;2026-07-01;10;10;10
CMDCA;APONTADOR;2026-04-28;2;2;2
CMDCA;CAIXA CANETA AZUL;2026-05-04 | 2026-06-15;5 | 5;10;5
CMDCA;CANETA;2026-04-28;5;5;5
CMDCA;CARTOLINA;2026-06-08;1;1;1
CMDCA;CLIPS Nª 04 1 CX;2026-06-22;1;1;1
CMDCA;CLIPS Nº 06 1 CX;2026-06-22;1;1;1
CMDCA;CLIPS Nº 08 1 CX;2026-06-22 | 2026-07-03;1 | 1;2;1
CMDCA;CLIPS Nº 6/0;2026-04-28;1;1;1
CMDCA;CORRETIVO;2026-06-08 | 2026-06-25;1 | 1;2;1
CMDCA;ESCARCELA;2026-06-25;1;1;1
CMDCA;FITA GOMADA;2026-06-08;1;1;1
CMDCA;LAPIS;2026-05-25 | 2026-06-22 | 2026-07-03;1 | 1 | 1;3;1
CMDCA;MARCA-TEXTO;2026-04-28 | 2026-06-01;1 | 1;2;1
CMDCA;POST-IT;2026-04-28 | 2026-05-04 | 2026-05-25 | 2026-06-08 | 2026-06-15 | 2026-06-22;1 | 1 | 1 | 1 | 1 | 1;6;1
CMDCA;RESMA DE PAPEL A4;2026-04-28 | 2026-05-04 | 2026-05-25 | 2026-06-08 | 2026-06-15 | 2026-06-22;1 | 1 | 1 | 1 | 1 | 1;6;1
CMDCA;TESOURA;2026-05-25;1;1;1
CMDI;PINCEL ATOMICO;2026-04-28 | 2026-05-18 | 2026-06-16;2 | 2 | 2;6;2
CMDI;RESMA DE PAPEL A4;2026-05-18 | 2026-06-16;1 | 1;2;1
CONSELHO TUTELAR;CLIPS Nº 2/0;2026-06-03;1;1;1
CONSELHO TUTELAR;CLIPS Nº 4/0;2026-06-03;1;1;1
CONSELHO TUTELAR;CLIPS Nº 8/0;2026-06-03;1;1;1
CONSELHO TUTELAR;RESMA DE PAPEL A4;2026-06-03;1;1;1
Centro/Alemanha;CANETA AZUL;2026-04-14 | 2026-06-17;5 | 5;10;5
Centro/Alemanha;FITA GOMADA/ADESIVA;2026-04-14 | 2026-06-17;1 | 1;2;1
Centro/Alemanha;MARCADOR DE TEXTO;2026-04-14 | 2026-06-17;4 | 5;9;4.5
Centro/Alemanha;PAPEL A4;2026-04-14;1;1;1
Centro/Alemanha;RESMA DE PAPEL A4;2026-06-17;1;1;1
Cidade OperáRia/Cidade OlíMpica;BLOCO DE NOTAS;2026-04-13;2;2;2
Cidade OperáRia/Cidade OlíMpica;CANETA AZUL E PRETA;2026-06-15 | 2026-06-24;5 | 3;8;4
Cidade OperáRia/Cidade OlíMpica;CANETA AZUL;2026-05-12 | 2026-05-28;5 | 5;10;5
Cidade OperáRia/Cidade OlíMpica;CANETA PRETA;2026-05-12 | 2026-05-28;5 | 5;10;5
Cidade OperáRia/Cidade OlíMpica;CLIPS Nº 3/0;2026-04-30 | 2026-05-12 | 2026-06-15;1 | 1 | 1;3;1
Cidade OperáRia/Cidade OlíMpica;CLIPS Nº 4/0;2026-05-28;1;1;1
Cidade OperáRia/Cidade OlíMpica;CLIPS Nº 6/0;2026-06-15;1;1;1
Cidade OperáRia/Cidade OlíMpica;CLIPS Nº 8/0;2026-04-30 | 2026-05-12 | 2026-05-28 | 2026-06-15;1 | 1 | 1 | 1;4;1
Cidade OperáRia/Cidade OlíMpica;EVA COR LARANJA;2026-04-30;2;2;2
Cidade OperáRia/Cidade OlíMpica;EVA COR ROSO;2026-04-30;2;2;2
Cidade OperáRia/Cidade OlíMpica;FITA DUREX;2026-04-30 | 2026-05-12 | 2026-05-28;1 | 1 | 1;3;1
Cidade OperáRia/Cidade OlíMpica;GRAMPEADOR PEQUENO;2026-06-15;1;1;1
Cidade OperáRia/Cidade OlíMpica;GRAMPO PARA GRAMPEADOR;2026-05-28 | 2026-06-15;1 | 1;2;1
Cidade OperáRia/Cidade OlíMpica;MARCADOR DE TEXTO VARIADO;2026-05-12 | 2026-05-28 | 2026-06-24;4 | 2 | 4;10;3.33
Cidade OperáRia/Cidade OlíMpica;PAPEL CARTAO VARIADO;2026-04-30;3;3;3
Cidade OperáRia/Cidade OlíMpica;PAPEL CREPOM VARIADO;2026-04-30;3;3;3
Cidade OperáRia/Cidade OlíMpica;PASTA SANFONADA;2026-04-13;2;2;2
Cidade OperáRia/Cidade OlíMpica;POST-IT;2026-04-30 | 2026-05-12 | 2026-05-28 | 2026-06-24;1 | 1 | 1 | 2;5;1.25
Cidade OperáRia/Cidade OlíMpica;RESMA DE PAPEL A4;2026-04-30 | 2026-05-12 | 2026-05-28 | 2026-06-15 | 2026-06-24;1 | 1 | 1 | 2 | 1;6;1.2
Cidade OperáRia/Cidade OlíMpica;RESMA PAPEL A4;2026-04-13;1;1;1
Cohab/Cohatrac;CANETA AZUL E PRETA;2026-04-14;5;5;5
Cohab/Cohatrac;CANETA AZUL;2026-04-23 | 2026-05-12 | 2026-05-26 | 2026-06-09;5 | 5 | 3 | 5;18;4.5
Cohab/Cohatrac;CANETA PRETA;2026-04-23 | 2026-05-12 | 2026-05-26 | 2026-06-09;5 | 5 | 3 | 5;18;4.5
Cohab/Cohatrac;CHAMEX;2026-04-14;1;1;1
Cohab/Cohatrac;CLIPS 04;2026-04-14;1;1;1
Cohab/Cohatrac;CLIPS 08;2026-04-14;1;1;1
Cohab/Cohatrac;CLIPS Nº 4/0;2026-05-26 | 2026-06-09 | 2026-06-22;1 | 1 | 1;3;1
Cohab/Cohatrac;CLIPS Nº 8/0;2026-04-23 | 2026-05-12 | 2026-06-09 | 2026-06-22;1 | 1 | 1 | 1;4;1
Cohab/Cohatrac;CORRETIVO;2026-04-14 | 2026-04-23 | 2026-06-09 | 2026-06-22;1 | 1 | 2 | 2;6;1.5
Cohab/Cohatrac;ESCARCELA;2026-04-14 | 2026-06-09 | 2026-06-22;3 | 2 | 2;7;2.33
Cohab/Cohatrac;FITA DUREX;2026-04-23 | 2026-05-12 | 2026-06-22;1 | 1 | 1;3;1
Cohab/Cohatrac;GRAMPEADOR;2026-04-23 | 2026-06-09;1 | 1;2;1
Cohab/Cohatrac;GRAMPO;2026-06-09;1;1;1
Cohab/Cohatrac;MARCADOR DE TEXTO;2026-04-14 | 2026-06-09 | 2026-06-22;3 | 2 | 2;7;2.33
Cohab/Cohatrac;RESMA DE PAPEL A4;2026-04-23 | 2026-04-28 | 2026-05-12 | 2026-05-26 | 2026-06-09 | 2026-06-22 | 2026-07-01 | 2026-07-07;1 | 1 | 1 | 1 | 1 | 1 | 1 | 1;8;1
Coroadinho/JoãO Paulo;CANETA;2026-05-06 | 2026-05-13 | 2026-05-27 | 2026-06-10;5 | 5 | 5 | 2;17;4.25
Coroadinho/JoãO Paulo;CANETAS;2026-01-01;5;5;5
Coroadinho/JoãO Paulo;CLIPS GRANDE;2026-05-27;1;1;1
Coroadinho/JoãO Paulo;CLIPS MEDIO;2026-01-01 | 2026-05-27;1 | 1;2;1
Coroadinho/JoãO Paulo;CLIPS Nº 2/0;2026-05-13 | 2026-06-10 | 2026-06-24 | 2026-07-02;1 | 1 | 1 | 1;4;1
Coroadinho/JoãO Paulo;CLIPS Nº 4/0;2026-05-06 | 2026-06-10;1 | 1;2;1
Coroadinho/JoãO Paulo;CLIPS Nº 8/0;2026-05-13 | 2026-06-10;1 | 1;2;1
Coroadinho/JoãO Paulo;CLIPS PEQUENO;2026-01-01 | 2026-05-27;1 | 1;2;1
Coroadinho/JoãO Paulo;ESCARCELA DE PLASTICO FINA;2026-05-27 | 2026-06-10 | 2026-06-24;2 | 2 | 2;6;2
Coroadinho/JoãO Paulo;ESCARCELAS DE PLASTICO FINA;2026-01-01;3;3;3
Coroadinho/JoãO Paulo;EVA(AZUL,AMARELO,VERDE,VERMELHO, LARANJA,ROSA );2026-05-27;5;5;5
Coroadinho/JoãO Paulo;GRAMPEADOR MEDIO;2026-07-02;1;1;1
Coroadinho/JoãO Paulo;LAPIS DE CERA;2026-05-06 | 2026-05-27 | 2026-06-10 | 2026-06-24 | 2026-07-02;1 | 2 | 2 | 1 | 1;7;1.4
Coroadinho/JoãO Paulo;MARCA TEXTO;2026-01-01;2;2;2
Coroadinho/JoãO Paulo;MARCA-TEXTO;2026-05-06 | 2026-05-13 | 2026-05-27 | 2026-06-10 | 2026-06-24 | 2026-07-02;2 | 2 | 2 | 2 | 2 | 2;12;2
Coroadinho/JoãO Paulo;PAPEL A4;2026-01-01;1;1;1
Coroadinho/JoãO Paulo;RESMA DE PAPEL A4;2026-05-06 | 2026-05-13 | 2026-05-27 | 2026-06-10 | 2026-06-24 | 2026-07-02;1 | 1 | 1 | 1 | 1 | 1;6;1
Itaqui-Bacanga;ALMODADA CARIMBO;2026-04-15;1;1;1
Itaqui-Bacanga;BORRACHA;2026-05-25 | 2026-06-10 | 2026-06-18 | 2026-07-03;6 | 2 | 3 | 6;17;4.25
Itaqui-Bacanga;CANETA AZUL;2026-01-01 | 2026-04-15 | 2026-05-25 | 2026-06-10 | 2026-06-18;5 | 5 | 5 | 5 | 5;25;5
Itaqui-Bacanga;CANETA MARCADORA;2026-05-25 | 2026-06-10 | 2026-06-18 | 2026-07-03;5 | 1 | 5 | 2;13;3.25
Itaqui-Bacanga;CANETA PRETA;2026-01-01 | 2026-06-18;5 | 5;10;5
Itaqui-Bacanga;CLIPS Nº 2/0;2026-06-10;1;1;1
Itaqui-Bacanga;CLIPS Nº 4/0;2026-05-25;2;2;2
Itaqui-Bacanga;CLIPS Nº 6/0;2026-07-03;1;1;1
Itaqui-Bacanga;CLIPS;2026-01-01 | 2026-06-18;1 | 1;2;1
Itaqui-Bacanga;COLA BRANCA;2026-01-01 | 2026-04-15 | 2026-05-25 | 2026-06-18;1 | 1 | 1 | 1;4;1
Itaqui-Bacanga;COPO DESCARTAVEL PARA CAFE;2026-06-18;1;1;1
Itaqui-Bacanga;COPOS PARA CAFE;2026-01-01 | 2026-04-15;1 | 1;2;1
Itaqui-Bacanga;CORRETIVO;2026-01-01 | 2026-04-15 | 2026-05-25 | 2026-06-10 | 2026-06-18 | 2026-07-03;2 | 1 | 5 | 1 | 1 | 2;12;2
Itaqui-Bacanga;ENVELOPE;2026-01-01 | 2026-04-15 | 2026-05-25 | 2026-06-10 | 2026-06-18 | 2026-07-03;5 | 5 | 10 | 5 | 10 | 10;45;7.5
Itaqui-Bacanga;FITA GOMADA;2026-01-01 | 2026-04-15 | 2026-06-10 | 2026-06-18;1 | 1 | 1 | 1;4;1
Itaqui-Bacanga;GRAMPEADOR;2026-07-03;1;1;1
Itaqui-Bacanga;PAPEL A4;2026-01-01 | 2026-04-15;1 | 1;2;1
Itaqui-Bacanga;RESMA DE PAPEL A4;2026-05-25 | 2026-06-10 | 2026-06-18 | 2026-07-03;1 | 1 | 1 | 1;4;1
Itaqui-Bacanga;TESOURA;2026-05-25 | 2026-06-10 | 2026-06-18 | 2026-07-03;2 | 1 | 1 | 2;6;1.5
Itaqui-Bacanga;TINTA AZUL PARA CARIMBO;2026-04-15 | 2026-06-10 | 2026-07-03;1 | 1 | 1;3;1
Itaqui-Bacanga;TINTA PRETA PARA CARIMBO;2026-06-10 | 2026-07-03;1 | 1;2;1
SãO CristóVãO/SãO Raimundo;CANETA AZUL;2026-04-28 | 2026-05-06 | 2026-06-16;3 | 3 | 5;11;3.67
SãO CristóVãO/SãO Raimundo;E.V.A VARIA COR;2026-06-16;8;8;8
SãO CristóVãO/SãO Raimundo;E.V.A VARIA CORE;2026-04-28;2;2;2
SãO CristóVãO/SãO Raimundo;FITA GOMADA;2026-06-16;1;1;1
SãO CristóVãO/SãO Raimundo;MARCADOR DE TEXTO;2026-06-16;2;2;2
SãO CristóVãO/SãO Raimundo;RESMA DE PAPEL A4;2026-04-28 | 2026-05-06 | 2026-06-16;1 | 1 | 1;3;1
SãO Francisco/Cohama;APAGADOR PARA QUADRO BRANCO;2026-05-14 | 2026-05-20 | 2026-05-27;1 | 1 | 1;3;1
SãO Francisco/Cohama;CANETA AZUL;2026-04-22 | 2026-06-10 | 2026-06-17;5 | 5 | 5;15;5
SãO Francisco/Cohama;CANETA PARA TECIDO;2026-05-20 | 2026-05-27;2 | 2;4;2
SãO Francisco/Cohama;CANETAS AZUIS;2026-04-15;5;5;5
SãO Francisco/Cohama;CLIPS Nº 2/0;2026-06-10 | 2026-06-17 | 2026-06-24;2 | 2 | 1;5;1.67
SãO Francisco/Cohama;CLIPS Nº 3/0;2026-04-22;1;1;1
SãO Francisco/Cohama;CLIPS Nº 4/0;2026-04-22 | 2026-05-14 | 2026-05-20;1 | 1 | 1;3;1
SãO Francisco/Cohama;CLIPS Nº 6/0;2026-04-22;1;1;1
SãO Francisco/Cohama;CLIPS Nº 8/0;2026-04-22;1;1;1
SãO Francisco/Cohama;CLIPS;2026-04-15 | 2026-05-27;2 | 1;3;1.5
SãO Francisco/Cohama;ENVELOPE A4;2026-04-22 | 2026-04-29 | 2026-05-14 | 2026-05-27 | 2026-06-10 | 2026-06-17 | 2026-06-24 | 2026-07-02;5 | 5 | 10 | 10 | 5 | 10 | 10 | 5;60;7.5
SãO Francisco/Cohama;ENVELOPES A4;2026-04-15;10;10;10
SãO Francisco/Cohama;ESCARCELA;2026-05-27 | 2026-06-10 | 2026-06-17 | 2026-06-24;2 | 2 | 2 | 2;8;2
SãO Francisco/Cohama;LAPIS;2026-06-10 | 2026-06-17 | 2026-06-24;5 | 5 | 5;15;5
SãO Francisco/Cohama;MARCADOR PARA QUADRO BRANCO;2026-05-14 | 2026-05-20 | 2026-05-27;2 | 2 | 2;6;2
SãO Francisco/Cohama;POST IT;2026-04-15;2;2;2
SãO Francisco/Cohama;POST-IT;2026-04-22;1;1;1
SãO Francisco/Cohama;RESMA DE CHAMEX;2026-04-15;1;1;1
SãO Francisco/Cohama;RESMA DE PAPEL A4;2026-04-22 | 2026-04-29 | 2026-05-07 | 2026-05-14 | 2026-05-20 | 2026-05-27 | 2026-06-10 | 2026-06-17 | 2026-06-24 | 2026-07-02;1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1;10;1
SãO Francisco/Cohama;TESOURA;2026-05-14 | 2026-05-27;2 | 1;3;1.5