#;Nome no Cadastro;Tipo;Registros 2026;Expediente 2026;Variações no Histórico;Status
1;Anil/BequimãO;CT;2;2;CT ANIL BEQUIMÃO;Com entregas
2;Centro/Alemanha;CT;1;1;CT CENTRO;Com entregas
3;Cidade OperáRia/Cidade OlíMpica;CT;0;0;;SEM entregas em 2026
4;Cohab/Cohatrac;CT;0;0;;SEM entregas em 2026
5;Coroadinho/JoãO Paulo;CT;0;0;;SEM entregas em 2026
6;Ct Zona Rural;CT;2;0;Ct Zona Rural;Com entregas
7;Itaqui-Bacanga;CT;2;2;CT ITAQUIBACANGA;Com entregas
8;SãO CristóVãO/SãO Raimundo;CT;0;0;;SEM entregas em 2026
9;SãO Francisco/Cohama;CT;0;0;;SEM entregas em 2026
10;Vila LuizãO/Turu;CT;1;0;CT VILA LUIZÃO 8 de junho 2026;Com entregas